Y_pred	Y_test
8	18
20	20
8	8
18	8
8	8
18	20
18	18
8	8
18	18
8	8
18	18
18	18
20	18
14	14
18	18
18	20
20	7
18	18
18	18
8	8
8	8
8	8
8	8
18	18
18	18
8	20
8	18
8	8
8	8
8	8
8	18
18	8
8	18
20	20
7	8
8	8
20	12
7	8
15	14
18	18
8	8
18	18
8	8
20	18
19	9
8	8
8	8
18	18
8	8
18	20
18	18
18	8
18	8
18	8
18	18
18	18
8	8
8	8
18	18
8	18
8	18
8	8
18	8
18	18
18	18
8	8
18	8
8	18
8	18
18	18
18	18
20	8
8	18
8	8
8	20
18	18
8	8
14	14
20	18
8	8
8	18
18	18
20	18
8	18
8	8
8	8
8	8
18	18
8	7
8	8
8	20
8	18
8	20
18	18
8	18
8	8
7	8
18	8
20	9
18	20
8	8
20	18
18	20
14	18
8	8
18	18
20	18
8	7
8	20
18	20
18	16
20	18
18	20
18	20
8	8
8	20
20	18
18	20
18	18
8	8
20	20
18	18
8	8
8	8
8	8
18	8
20	18
18	18
8	8
18	18
8	8
18	20
18	18
18	8
18	20
8	20
8	6
18	20
8	8
18	14
18	18
1	1
8	8
18	20
8	8
8	8
8	6
8	18
8	7
8	8
18	18
8	8
8	8
20	20
8	8
18	18
18	18
8	18
18	18
18	18
18	18
8	8
8	8
18	20
18	20
8	8
8	8
18	8
18	18
8	8
8	8
8	8
18	18
18	18
8	8
8	20
18	20
18	18
18	20
8	8
8	8
20	7
14	18
18	18
18	18
18	18
18	18
18	1
8	8
18	18
8	18
8	6
8	8
8	8
18	18
8	8
8	8
18	20
18	8
8	8
18	18
20	8
8	7
18	20
7	7
8	8
20	20
20	18
8	18
18	18
7	8
18	18
8	8
8	8
8	8
8	8
18	18
18	8
7	18
14	14
18	8
8	7
8	8
20	18
8	20
18	20
18	18
1	7
7	7
8	20
8	18
8	8
18	18
20	20
7	7
20	7
8	20
8	8
18	8
18	18
8	8
18	18
8	8
1	1
18	8
8	8
8	8
18	20
8	8
18	18
8	7
18	18
18	20
8	8
8	20
8	18
8	8
18	14
8	8
8	8
18	18
18	20
18	18
18	18
8	18
18	20
8	8
8	8
18	18
8	8
18	18
8	8
18	18
18	18
8	8
20	20
8	8
8	8
18	20
18	18
8	8
8	8
20	18
20	20
18	18
8	20
18	18
8	8
8	7
18	8
8	8
8	8
8	8
8	8
8	8
8	8
8	8
8	18
8	8
8	7
18	18
8	8
18	18
18	8
8	8
18	18
8	8
18	18
18	18
14	8
18	18
20	20
8	8
8	8
7	8
18	18
8	8
20	18
18	18
18	18
8	8
8	18
8	7
8	8
8	8
20	20
14	8
20	18
8	8
8	8
18	18
18	20
8	8
18	18
18	18
8	18
18	18
18	18
8	18
20	18
18	18
20	20
8	8
18	18
18	18
18	18
8	8
8	8
7	20
8	20
8	8
20	20
14	14
18	20
8	8
18	8
8	8
18	20
8	8
20	20
8	8
8	8
20	20
8	8
18	20
18	20
8	8
8	20
18	8
18	8
8	8
8	8
18	18
18	8
18	20
8	8
20	18
8	8
8	8
8	8
8	18
8	8
18	20
7	7
8	8
8	8
18	8
18	18
8	8
8	20
18	20
18	8
20	20
8	8
8	8
18	8
8	20
18	18
18	20
8	8
8	8
8	8
1	8
8	8
18	18
20	18
8	20
18	18
8	8
18	18
8	20
8	20
8	8
8	8
8	8
18	8
18	18
20	20
18	18
18	8
18	18
18	8
8	8
18	18
8	8
18	18
8	7
18	20
18	18
8	18
8	8
8	8
8	7
20	20
18	18
8	8
8	20
8	8
8	8
18	18
20	18
20	18
8	18
8	8
8	8
18	20
8	20
8	18
18	18
18	8
8	18
8	8
20	8
18	18
8	8
8	8
20	8
8	8
18	16
8	18
20	20
18	18
18	20
20	18
18	18
18	18
8	8
20	18
8	8
8	8
8	8
8	8
18	18
8	8
18	18
18	18
8	8
20	18
8	8
8	8
8	8
18	20
8	20
8	8
20	7
18	18
20	18
18	18
8	8
20	18
1	8
20	18
18	18
8	8
18	18
7	7
8	8
8	7
8	8
18	18
8	18
18	8
8	8
8	18
8	8
8	18
18	18
8	18
18	18
18	20
8	8
18	18
8	8
20	20
18	8
8	8
8	8
18	18
18	18
8	8
18	20
19	8
18	18
18	18
18	18
18	18
8	18
8	8
18	18
8	8
8	8
8	20
8	7
8	8
18	18
8	8
18	18
8	8
8	8
8	8
8	8
18	18
20	20
8	8
18	18
8	18
18	18
18	18
8	8
8	8
8	7
8	8
18	20
8	8
8	8
8	8
18	18
18	18
8	8
20	18
20	8
8	18
8	8
18	18
18	18
18	20
18	8
8	0
8	8
18	8
8	7
18	20
8	8
18	18
8	8
8	8
8	8
8	8
18	18
8	8
18	18
8	8
20	18
18	8
20	18
20	20
18	18
18	18
18	20
8	8
8	8
18	18
18	20
8	8
8	8
20	20
7	7
18	20
18	20
8	8
8	8
18	18
8	18
8	8
18	18
20	20
20	7
18	7
8	8
8	7
8	8
20	8
8	8
18	18
8	8
8	8
8	8
8	8
8	8
14	18
8	8
0	0
18	20
7	7
18	18
18	18
18	8
20	18
8	8
18	18
20	20
8	8
18	18
18	19
8	8
8	8
8	8
7	7
8	8
14	14
18	18
18	20
8	8
8	8
18	20
18	20
20	20
18	18
8	8
18	8
8	8
8	8
8	20
18	18
8	8
8	8
20	20
20	7
8	8
8	8
18	8
20	18
8	18
8	18
8	8
18	18
8	8
8	8
18	8
20	18
18	8
20	20
8	8
18	18
18	18
8	8
8	8
8	8
8	7
18	20
18	20
18	7
18	8
8	18
8	8
8	8
8	8
8	8
18	20
18	20
18	18
18	20
18	18
18	18
20	20
8	8
18	8
18	18
18	18
18	20
8	20
1	1
0	8
18	20
18	8
20	18
8	8
18	18
18	20
18	20
18	18
18	18
7	7
8	8
20	18
20	18
8	8
18	18
18	20
18	20
8	18
8	18
18	8
8	8
8	8
18	18
18	20
8	8
18	20
8	18
8	18
18	18
18	7
20	20
8	8
18	8
8	8
18	18
20	18
18	18
8	8
8	8
8	7
8	8
8	18
20	18
18	18
18	20
8	8
8	18
20	18
9	7
8	8
18	8
18	18
8	20
8	8
20	18
8	18
8	8
8	8
18	20
18	8
20	18
7	7
8	8
20	18
8	8
18	18
18	20
8	8
8	8
18	20
18	20
18	20
8	18
18	18
9	18
8	8
18	18
18	18
8	7
18	18
8	18
18	18
8	8
18	8
8	8
18	20
8	8
18	20
8	8
8	8
18	18
20	20
8	18
20	20
8	8
18	18
8	8
8	8
8	20
18	18
18	20
18	18
18	20
8	8
18	8
8	8
7	8
18	18
8	7
18	20
8	7
20	18
18	18
8	8
18	8
18	18
18	8
8	8
18	8
8	8
18	18
8	8
8	8
8	8
8	8
18	20
7	8
18	20
8	8
18	20
18	18
18	18
8	8
8	8
18	18
8	8
18	18
7	8
8	8
18	18
8	8
8	8
8	8
18	9
8	8
18	20
8	8
18	20
18	8
7	8
8	8
18	8
8	8
18	18
20	8
8	8
18	18
8	8
18	7
18	20
20	20
8	8
18	7
18	18
8	20
8	8
8	8
18	18
18	18
20	20
8	8
8	8
18	18
18	18
20	18
20	8
18	20
8	18
18	8
18	18
8	8
7	8
8	8
18	18
8	18
18	18
8	8
8	7
18	8
